Time, Sievert (uSv/h) 
0, 0.505669
1, 0.338402
2, 0.123070
3, 0.341820
4, 0.345778
5, 0.523300
6, 0.493533
7, 0.448873
8, 0.494811
9, 0.298761
10, 0.395281
11, 0.213053
12, 0.359451
13, 0.412206
14, 0.566961
15, 0.309157
16, 0.251013
17, 0.374409
18, 0.341764
19, 0.517594
20, 0.581103
21, 0.201431
22, 0.298628
23, 0.421562
24, 0.454444
25, 0.675776
26, 0.690408
27, 0.435482
28, 0.470928
29, 0.536230
30, 0.537498
31, 0.295401
32, 0.314440
33, 0.493476
34, 0.548213
35, 0.405627
36, 0.576304
37, 0.502009
38, 0.326071
39, 0.383380
40, 0.442980
41, 0.561448
42, 0.216916
43, 0.415112
44, 0.267369
45, 0.323919
46, 0.397063
47, 0.423271
48, 0.407551
49, 0.714089
50, 0.312381
51, 0.247501
52, 0.219867
53, 0.501410
54, 0.346348
55, 0.467087
56, 0.527309
57, 0.423371
58, 0.415086
59, 0.425022
60, 0.395170
61, 0.355225
62, 0.593848
63, 0.233117
64, 0.260319
65, 0.314421
66, 0.387847
67, 0.535184
68, 0.275177
69, 0.508600
70, 0.164884
71, 0.278949
72, 0.318308
73, 0.415868
74, 0.347185
75, 0.197890
76, 0.392669
77, 0.483874
78, 0.496486
79, 0.426701
80, 0.312504
81, 0.372018
82, 0.503383
83, 0.424564
84, 0.423805
85, 0.480692
86, 0.411376
87, 0.454421
88, 0.436424
89, 0.418194
90, 0.516289
91, 0.392863
92, 0.356707
93, 0.459295
94, 0.415401
95, 0.479939
96, 0.345609
97, 0.272411
98, 0.191936
99, 0.347178
100, 0.946171
101, 0.403676
102, 0.262864
103, 0.285886
104, 0.379940
105, 0.361014
106, 0.267072
107, 0.272592
108, 0.426993
109, 0.351410
110, 0.215320
111, 0.488378
112, 0.442936
113, 0.587618
114, 0.377704
115, 0.481021
116, 0.240989
117, 0.177055
118, 0.633832
119, 0.490553
120, 0.433992
121, 0.385361
122, 0.462100
123, 0.436903
124, 0.402097
125, 0.415055
126, 0.303270
127, 0.488188
128, 0.273450
129, 0.298865
130, 0.410281
131, 0.651989
132, 0.420453
133, 0.410805
134, 0.766734
135, 0.378760
136, 0.486485
137, 0.587382
138, 0.206887
139, 0.354633
140, 0.328776
141, 0.249262
142, 0.305995
143, 0.596614
144, 0.732922
145, 0.302724
146, 0.288101
147, 0.193960
148, 0.372693
149, 0.336278
150, 0.514179
151, 0.193958
152, 0.532925
153, 0.334365
154, 0.288543
155, 0.485362
156, 0.371220
157, 0.429456
158, 0.395738
159, 0.407042
160, 0.446783
161, 0.513269
162, 0.447563
163, 0.406450
164, 0.349974
165, 0.432787
166, 0.506547
167, 0.360185
168, 0.261868
169, 0.476815
170, 0.303670
171, 0.509082
172, 0.275192
173, 0.346131
174, 0.385069
175, 0.299030
176, 0.384042
177, 0.267642
178, 0.366616
179, 0.335691
