Time, Sievert (uSv/h) 
0, 0.106038
1, 0.182152
2, 0.228986
3, 0.132132
4, 0.233818
5, 0.140013
6, 0.168025
7, 0.263618
8, 0.144421
9, 0.130819
10, 0.066817
11, 0.332788
12, 0.264029
13, 0.234966
14, 0.144635
15, 0.064678
16, 0.120000
17, 0.168600
18, 0.079228
19, 0.133096
20, 0.260821
21, 0.305759
22, 0.130609
23, 0.085931
24, 0.275092
25, 0.122519
26, 0.169493
27, 0.144821
28, 0.103249
29, 0.612905
30, 0.145441
31, 0.276789
32, 0.288546
33, 0.072575
34, 0.046569
35, 0.295296
36, 0.199060
37, 0.154678
38, 0.205578
39, 0.153604
40, 0.077454
41, 0.132058
42, 0.098360
43, 0.188256
44, 0.185654
45, 0.211101
46, 0.145468
47, 0.031687
48, 0.202976
49, 0.194884
50, 0.122772
51, 0.196978
52, 0.191780
53, 0.153715
54, 0.144063
55, 0.309568
56, 0.280993
57, 0.169912
58, 0.264049
59, 0.198739
60, 0.088233
61, 0.121301
62, 0.098520
63, 0.165872
64, 0.238471
65, 0.176783
66, 0.133403
67, 0.079504
68, 0.231622
69, 0.167272
70, 0.205262
71, 0.273808
72, 0.052391
73, 0.167468
74, 0.120597
75, 0.237601
76, 0.101406
77, 0.181138
78, 0.360103
79, 0.141230
80, 0.160583
81, 0.125139
82, 0.203888
83, 0.049650
84, 0.191945
85, 0.190741
86, 0.204406
87, 0.128913
88, 0.126792
89, 0.254818
90, 0.337916
91, 0.102228
92, 0.162190
93, 0.126721
94, 0.127973
95, 0.053841
96, 0.246877
97, 0.106318
98, 0.295135
99, 0.192377
100, 0.237630
101, 0.152774
102, 0.145368
103, 0.210386
104, 0.209041
105, 0.088046
106, 0.159641
107, 0.137901
108, 0.258338
109, 0.095917
110, 0.145410
111, 0.265571
112, 0.170403
113, 0.080252
114, 0.209956
115, 0.198977
116, 0.135247
117, 0.154636
118, 0.062921
119, 0.079420
120, 0.159526
121, 0.229548
122, 0.083023
123, 0.204997
124, 0.097099
125, 0.280873
126, 0.276383
127, 0.134908
128, 0.225647
129, 0.137694
130, 0.229587
131, 0.204824
132, 0.150008
133, 0.244430
134, 0.268822
135, 0.242179
136, 0.137942
137, 0.200077
138, 0.224423
139, 0.170211
140, 0.092799
141, 0.187064
142, 0.118315
143, 0.217341
144, 0.157669
145, 0.207123
146, 0.125482
147, 0.232578
148, 0.180527
149, 0.195854
150, 0.178049
151, 0.182546
152, 0.228938
153, 0.395341
154, 0.152845
155, 0.169945
156, 0.129619
157, 0.179175
158, 0.255752
159, 0.050442
160, 0.154769
161, 0.054806
162, 0.214259
163, 0.165275
164, 0.059431
165, 0.029224
166, 0.169079
167, 0.146609
168, 0.217669
169, 0.281509
170, 0.301261
171, 0.126166
172, 0.094721
173, 0.201087
174, 0.143471
175, 0.409662
176, 0.143457
177, 0.285599
178, 0.137706
179, 0.166676
