Time, Sievert (uSv/h) 
0, 0.107629
1, 0.229540
2, 0.287615
3, 0.117708
4, 0.208311
5, 0.138106
6, 0.227900
7, 0.055090
8, 0.164789
9, 0.275827
10, 0.187066
11, 0.152189
12, 0.050394
13, 0.162840
14, 0.175135
15, 0.197236
16, 0.241089
17, 0.150622
18, 0.100312
19, 0.228293
20, 0.213999
21, 0.175683
22, 0.208923
23, 0.200480
24, 0.092259
25, 0.080845
26, 0.185805
27, 0.117435
28, 0.164241
29, 0.231713
30, 0.081224
31, 0.285365
32, 0.046386
33, 0.181691
34, 0.181296
35, 0.073347
36, 0.215889
37, 0.189458
38, 0.148413
39, 0.098638
40, 0.094477
41, 0.225064
42, 0.111444
43, 0.169099
44, 0.295386
45, 0.167913
46, 0.236299
47, 0.344537
48, 0.217275
49, 0.081034
50, 0.262970
51, 0.163746
52, 0.156456
53, 0.101543
54, 0.261248
55, 0.130729
56, 0.029990
57, 0.202144
58, 0.232355
59, 0.183149
60, 0.155234
61, 0.183951
62, 0.223450
63, 0.131707
64, 0.102442
65, 0.203627
66, 0.090198
67, 0.144801
68, 0.092380
69, 0.189880
70, 0.231160
71, 0.213316
72, 0.166693
73, 0.218645
74, 0.226503
75, 0.284862
76, 0.311684
77, 0.070887
78, 0.200596
79, 0.225106
80, 0.181217
81, 0.178232
82, 0.135463
83, 0.100753
84, 0.161880
85, 0.057120
86, 0.098626
87, 0.301318
88, 0.080836
89, 0.293042
90, 0.240841
91, 0.204150
92, 0.201277
93, 0.155066
94, 0.203852
95, 0.204492
96, 0.222674
97, 0.263766
98, 0.038245
99, 0.106146
100, 0.183538
101, 0.179007
102, 0.158548
103, 0.180632
104, 0.044887
105, 0.054539
106, 0.209206
107, 0.232414
108, 0.196242
109, 0.116690
110, 0.182451
111, 0.227042
112, 0.235939
113, 0.114127
114, 0.093344
115, 0.052004
116, 0.069413
117, 0.189368
118, 0.169370
119, 0.157245
120, 0.133760
121, 0.246478
122, 0.043335
123, 0.177184
124, 0.177084
125, 0.142508
126, 0.317577
127, 0.080046
128, 0.207841
129, 0.201543
130, 0.349351
131, 0.093660
132, 0.210074
133, 0.138375
134, 0.154112
135, 0.177817
136, 0.278408
137, 0.077448
138, 0.328032
139, 0.178323
140, 0.219523
141, 0.257391
142, 0.100503
143, 0.190051
144, 0.160584
145, 0.123400
146, 0.191962
147, 0.186747
148, 0.216634
149, 0.205868
150, 0.294027
151, 0.200144
152, 0.139009
153, 0.101186
154, 0.091223
155, 0.175494
156, 0.083294
157, 0.172189
158, 0.072540
159, 0.497474
160, 0.350116
161, 0.263095
162, 0.104350
163, 0.110277
164, 0.055590
165, 0.128812
166, 0.191478
167, 0.305818
168, 0.159084
169, 0.070106
170, 0.061407
171, 0.140155
172, 0.116628
173, 0.171820
174, 0.062906
175, 0.048754
176, 0.143870
177, 0.315778
178, 0.143009
179, 0.193329
