Time, Sievert (uSv/h) 
0, 11.207989
1, 11.056511
2, 9.591011
3, 10.711964
4, 10.370500
5, 12.635399
6, 12.470276
7, 11.336202
8, 12.352005
9, 12.910984
10, 11.335022
11, 10.825055
12, 11.609281
13, 11.684502
14, 12.165925
15, 11.603557
16, 12.268776
17, 10.706702
18, 11.876453
19, 11.211565
20, 12.601175
21, 11.751364
22, 12.278994
23, 11.098178
24, 11.453770
25, 11.251723
26, 10.898319
27, 11.718048
28, 12.689939
29, 13.089617
30, 11.401827
31, 11.905450
32, 12.477710
33, 11.004124
34, 11.152668
35, 10.677329
36, 10.556044
37, 10.932326
38, 11.027449
39, 11.987603
40, 10.741108
41, 11.642721
42, 11.545718
43, 12.590718
44, 11.617254
45, 11.579763
46, 10.945962
47, 10.830288
48, 11.836605
49, 11.219497
50, 12.190309
51, 11.664167
52, 12.363010
53, 10.990801
54, 11.954568
55, 12.155663
56, 11.487868
57, 11.692983
58, 12.472427
59, 11.945545
60, 11.302823
61, 11.889253
62, 11.816000
63, 12.277057
64, 10.746180
65, 13.129236
66, 11.987227
67, 10.735136
68, 12.322208
69, 10.342958
70, 11.228858
71, 10.378542
72, 13.098712
73, 11.846109
74, 11.315242
75, 11.925604
76, 11.475547
77, 11.842759
78, 11.720200
79, 11.464456
80, 10.725255
81, 10.726361
82, 10.610498
83, 10.535860
84, 12.539678
85, 12.105584
86, 11.363016
87, 12.025126
88, 11.833631
89, 11.448381
90, 11.101571
91, 12.461049
92, 10.533356
93, 10.928246
94, 11.578182
95, 12.008427
96, 11.352468
97, 11.892511
98, 11.317723
99, 11.241606
100, 11.616951
101, 11.427405
102, 12.316009
103, 11.256691
104, 11.682865
105, 12.367290
106, 10.461189
107, 10.966739
108, 11.316141
109, 11.810813
110, 11.826077
111, 11.308649
112, 12.522652
113, 10.775468
114, 12.132863
115, 11.183331
116, 11.711637
117, 11.650724
118, 11.237445
119, 10.920014
120, 11.190618
121, 11.314548
122, 11.413823
123, 11.637153
124, 11.320513
125, 11.385859
126, 10.742968
127, 11.846689
128, 11.506562
129, 11.028876
130, 12.380992
131, 11.387778
132, 10.917728
133, 11.249980
134, 11.480802
135, 11.211300
136, 11.307552
137, 11.333108
138, 10.962747
139, 11.502289
140, 11.563523
141, 12.208509
142, 11.568493
143, 11.310784
144, 11.914095
145, 11.295766
146, 11.437265
147, 12.122432
148, 11.454913
149, 12.198173
150, 11.548758
151, 12.242554
152, 10.805832
153, 11.277438
154, 10.466906
155, 11.598010
156, 11.595728
157, 11.626482
158, 11.890983
159, 11.136434
160, 11.181947
161, 10.648240
162, 10.461820
163, 10.785199
164, 11.702082
165, 11.098025
166, 11.621232
167, 12.309332
168, 10.384334
169, 10.801007
170, 10.799098
171, 11.123838
172, 12.144763
173, 11.122827
174, 11.701355
175, 10.922375
176, 11.043489
177, 12.358364
178, 12.688219
179, 10.893851
